D, d, l_calc, l_tabla, seccion
-------------------------------------
33.0, 11.0, 161.804, 162, C
14.25, 4.75, 120.347, 120, A
31.5, 10.5, 158.423, 158, B
31.5, 10.5, 158.423, 158, C
18.0, 6.0, 128.499, 128, B
19.5, 6.5, 131.78, 131, B
21.0, 7.0, 135.071, 136, B
37.5, 12.5, 172.012, 173, B
37.5, 12.5, 172.012, 173, C
25.5, 8.5, 145.013, 144, B
25.5, 8.5, 145.013, 144, C
40.5, 13.5, 178.873, 180, B
40.5, 13.5, 178.873, 180, C
40.5, 13.5, 178.873, 180, D
17.25, 5.75, 126.863, 128, A
11.25, 3.75, 113.874, 112, A
15.0, 5.0, 121.971, 120, B
18.75, 6.25, 130.138, 128, A
24.0, 8.0, 141.688, 144, B
42.0, 14.0, 182.32, 180, B
42.0, 14.0, 182.32, 180, C
42.0, 14.0, 182.32, 180, D
22.5, 7.5, 138.374, 136, B
39.0, 13.0, 175.437, 173, B
39.0, 13.0, 175.437, 173, C
39.0, 13.0, 175.437, 173, D
16.5, 5.5, 125.23, 128, B
12.75, 4.25, 117.105, 120, A
30.0, 10.0, 155.054, 158, B
30.0, 10.0, 155.054, 158, C
34.5, 11.5, 165.196, 162, C
15.75, 5.25, 123.599, 120, A
33.0, 11.0, 161.804, 158, B
27.0, 9.0, 148.349, 144, B
27.0, 9.0, 148.349, 144, C
36.0, 12.0, 168.598, 173, B
36.0, 12.0, 168.598, 173, C
20.25, 6.75, 133.424, 128, A
45.0, 15.0, 189.248, 195, B
45.0, 15.0, 189.248, 195, C
45.0, 15.0, 189.248, 195, D
43.5, 14.5, 185.778, 180, B
43.5, 14.5, 185.778, 180, C
43.5, 14.5, 185.778, 180, D
28.5, 9.5, 151.696, 158, B
28.5, 9.5, 151.696, 158, C
34.5, 11.5, 165.196, 158, B
21.75, 7.25, 136.721, 128, A
23.25, 7.75, 140.029, 128, A
24.75, 8.25, 143.349, 128, A
26.25, 8.75, 146.679, 128, A
27.75, 9.25, 150.021, 128, A
29.25, 9.75, 153.374, 128, A
30.75, 10.25, 156.737, 128, A
32.25, 10.75, 160.112, 128, A
33.75, 11.25, 163.498, 128, A
35.25, 11.75, 166.895, 128, A
36.75, 12.25, 170.304, 128, A
38.25, 12.75, 173.723, 128, A
39.75, 13.25, 177.154, 128, A
41.25, 13.75, 180.595, 128, A
42.75, 14.25, 184.048, 128, A
44.25, 14.75, 187.512, 128, A
